Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
BAW77,A332,CYTZ,LWSK,10726.86,21825.9,185,35,166,52,0,,,,,,,,,
DAL945,A35K,KMSO,OISS,11433.66,21898.86,174.4,182,77,7,0,,,,,,,,,
AFR126,B752,KFAR,OIMM,11158.86,21912.12,179.2,619,88,128,0,,,,,,,,,
VIR78,B77W,CYQB,EDDH,11296.98,21924.84,177.1,307,63,9,0,,,,,,,,,
VIR785,B77L,KBDL,OJAI,10613.94,21943.56,188.8,445,0,2,0,,,,,,,,,
AAL565,B77W,KLAS,EDDH,11808.12,21971.46,169.4,38,61,68,0,,,,,,,,,
KLM810,B78X,KSAN,LPPT,11527.32,22009.56,174.7,16,17,62,0,,,,,,,,,
UAE758,A332,CYQM,FSIA,11204.58,22017.72,180.2,410,172,352,0,,,,,,,,,
UAE292,B788,KLGA,LIMC,10454.28,22062.36,193.5,139,193,26,0,,,,,,,,,
DAL107,B789,KSJC,OBBI,10999.98,22062.36,184.4,16,29,32,0,,,,,,,,,
SWR840,A346,MMCS,LWSK,11069.16,22067.1,183.3,95,18,63,0,,,,,,,,,
TAP747,A339,KFLL,HKJK,11274.66,22073.58,180,81,213,71,0,,,,,,,,,
DAL450,A332,KBOI,OTHH,10794.96,22081.32,188.1,453,162,514,0,,,,,,,,,
KLM489,A333,KOAK,GMML,10411.44,22087.92,194.6,124,74,469,0,,,,,,,,,
DLH310,A333,CYYC,VCBI,11044.86,22278.36,187.2,74,70,34,0,,,,,,,,,
THY914,A333,KICT,LCLK,11762.58,22318.44,175.9,0,0,0,0,,,,,,,,,
VIR381,B788,MMCL,GQNN,11229.6,22409.52,186.3,277,243,100,0,,,,,,,,,
TAP786,A359,CYFC,LSZH,12341.28,22416.06,167.9,182,72,76,0,,,,,,,,,
SWR344,B77W,CYXU,UAII,10840.56,22416.06,192.9,122,30,0,0,,,,,,,,,
KLM310,A333,MMCS,EHAM,11689.02,22429.26,179,427,406,18,0,,,,,,,,,
BAW842,A332,KIAD,EDDP,10772.58,22481.46,195.1,144,171,14,0,,,,,,,,,
KLM915,A359,KICT,ORER,11642.58,22507.56,181.1,165,558,337,0,,,,,,,,,
UAL476,B77L,KPWM,FWKI,11549.46,22521.6,182.9,128,307,13,0,,,,,,,,,
KLM312,A333,KOKC,EBBR,10977.6,22534.62,192.6,408,228,170,0,,,,,,,,,
