Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Time, Info, TA, RA, !BOOM!,,,,,,,,,
VIR256,A339,RJAA,KJFK,39313.68,40884.96,26.2,0,0,0,0,,,,,,,,,
UAL414,A333,RJGG,MDSD,40681.86,40892.34,3.5,2,1,0,0,,,,,,,,,
ETD564,B788,LEMD,KROC,40653.06,40904.52,4.2,1,1,0,0,,,,,,,,,
DAL197,B788,OTHH,TBPB,39772.44,40918.5,19.1,7,1,0,0,,,,,,,,,
AFR708,A333,OTHH,MMPR,39717.54,40918.5,20,3,0,0,0,,,,,,,,,
KLM961,A333,EGLL,MDPC,39372.06,40969.44,26.6,0,0,1,0,,,,,,,,,
AFR46,A35K,EGSS,TBPB,30143.34,40990.02,180.8,0,0,0,0,,,,,,,,,
DAL427,A333,OMDB,MMAS,35412.66,41009.58,93.3,31,0,0,0,,,,,,,,,
SWR116,A332,RJTT,KPBI,35455.2,41028.3,92.9,24,1,0,0,,,,,,,,,
DAL699,A346,ULLI,MMUN,38054.4,41134.44,51.3,10,1,0,0,,,,,,,,,
TAP211,B772,LFMN,MDSD,38184.48,41155.86,49.5,0,1,0,0,,,,,,,,,
ETD34,A359,EGCC,CYYT,31086.42,41363.52,171.3,0,0,0,0,,,,,,,,,
UAL151,B748,LEPA,MMPR,30977.28,41377.56,173.3,0,0,0,0,,,,,,,,,
SAS897,A333,LSZH,KPBI,35319.48,41396.1,101.3,0,0,0,0,,,,,,,,,
TAP239,A332,VOBL,KCHS,30301.62,41409.96,185.1,1,0,0,0,,,,,,,,,
DLH807,A332,EDDL,MMUN,35089.2,41410.02,105.3,0,1,0,0,,,,,,,,,
SWR207,A332,EGKK,CYQX,39970.86,41519.34,25.8,3,1,0,0,,,,,,,,,
VIR164,A339,EGKK,KROC,40109.58,41519.4,23.5,3,0,0,0,,,,,,,,,
SAS437,B77W,EDDL,MMAS,30515.94,41619.84,185.1,0,0,0,0,,,,,,,,,
VIR936,B788,EDDH,KBUF,30058.98,41676.48,193.6,1,0,0,0,,,,,,,,,
ETD360,A339,ZSPD,KFLL,30399.42,41702.04,188.4,0,0,0,0,,,,,,,,,
UAL66,A359,LTFM,KDCA,40027.86,41874.24,30.8,16,2,0,0,,,,,,,,,
IBE133,B789,WIII,CYYR,40192.26,41878.98,28.1,10,2,0,0,,,,,,,,,
TSC744,B789,EBBR,KJAX,30766.68,41975.52,186.8,0,0,0,0,,,,,,,,,
AAL356,B789,EGBB,TBPB,37956.72,42027.78,67.9,2,1,0,0,,,,,,,,,
DLH58,A35K,VECC,KATL,38151.6,42060.36,65.1,0,1,0,0,,,,,,,,,
UAL555,A359,EGKK,KCLT,41051.64,42091.32,17.3,1,1,0,0,,,,,,,,,
SWR781,A35K,OMDB,KIAD,41104.92,42117.78,16.9,0,1,0,0,,,,,,,,,
DAL207,B77W,EGKK,KALB,41182.74,42170.64,16.5,0,0,0,0,,,,,,,,,
VIR652,B77W,LTFM,KTPA,41313.24,42176.16,14.4,0,0,0,0,,,,,,,,,
SAS274,B788,EGKK,MMMX,31469.58,42276.78,180.1,0,0,0,0,,,,,,,,,
TAP230,B789,VTBS,KMSY,39660.48,42277.68,43.6,0,0,3,0,,,,,,,,,
BAW982,B77W,RJAA,MMUN,39997.08,42277.68,38,9,0,1,0,,,,,,,,,
THY889,B77W,VOMM,MMMX,39744.54,42277.68,42.2,0,0,2,0,,,,,,,,,
UAE716,B77W,VOBL,KTPA,38657.52,42277.68,60.3,1,2,0,0,,,,,,,,,
IBE306,B77W,VHHH,TJSJ,38624.94,42277.68,60.9,0,1,0,0,,,,,,,,,
UAE990,A35K,VECC,MMCS,40973.16,42309.54,22.3,13,4,0,0,,,,,,,,,
LOT861,B789,EGLL,KFLL,40866.18,42321.72,24.3,0,1,0,0,,,,,,,,,
VIR327,A359,UUDD,KPHL,39545.52,42367.44,47,0,0,1,0,,,,,,,,,
SWR653,B744,LEMD,MMTJ,32417.52,42400.02,166.4,0,0,0,0,,,,,,,,,
SAS224,A359,UUDD,KJAX,35770.74,42583.5,113.5,0,0,0,0,,,,,,,,,
AFR257,B789,LSGG,MMPR,35893.62,42583.5,111.5,4,0,0,0,,,,,,,,,
UAL504,A332,LEMD,KJAX,41237.04,42583.5,22.4,1,1,1,0,,,,,,,,,
DLH285,A332,EDDH,MMTJ,41630.1,42585.36,15.9,31,2,0,0,,,,,,,,,
SAS739,B789,WMKK,MMMY,39461.46,42597.78,52.3,73,1,0,0,,,,,,,,,
SWR304,B788,RJBB,KALB,41263.26,42603.12,22.3,0,0,1,0,,,,,,,,,
ETD121,A332,UUEE,CYYR,41753.88,42630.06,14.6,0,1,0,0,,,,,,,,,
SWR96,A333,VIDP,KMIA,31363.44,42634.92,187.9,0,0,0,0,,,,,,,,,
BAW916,B772,LFPG,MMPR,31932.24,42642.06,178.5,0,0,0,0,,,,,,,,,
AFR644,B744,ZSPD,KJFK,32062.02,42644.04,176.4,0,0,0,0,,,,,,,,,
SAS495,B77W,EGSS,KBNA,31409.04,42674.82,187.8,0,0,0,0,,,,,,,,,
UAE722,A333,ULLI,KMCO,40328.94,42710.1,39.7,0,0,0,0,,,,,,,,,
AFR93,A346,RJAA,MMCS,40490.94,42710.16,37,23,2,0,0,,,,,,,,,
ETD47,B772,ZBAA,MMCS,40571.82,42715.92,35.7,10,0,0,0,,,,,,,,,
DAL320,B77W,VOBL,KBWI,40381.8,42721.38,39,15,1,0,0,,,,,,,,,
SWR692,B788,EHAM,MMGL,40246.26,42761.58,41.9,0,1,0,0,,,,,,,,,
UAE295,B77W,LSGG,CYYT,40599.78,42776.34,36.3,0,0,0,0,,,,,,,,,
IBE538,B789,EHAM,MMPR,42722.16,42980.4,4.3,13,2,0,0,,,,,,,,,
IBE294,B789,EDDL,KSYR,42086.7,42985.92,15,83,1,0,0,,,,,,,,,
SAS798,B77W,EBBR,KALB,42213.42,42985.98,12.9,68,1,0,0,,,,,,,,,
IBE924,B763,OMAA,MDSD,31618.74,42993.42,189.6,0,0,0,0,,,,,,,,,
IBE543,B789,LIPZ,TJSJ,32201.88,43005.78,180.1,0,0,0,0,,,,,,,,,
THY483,B788,LEMD,MMPR,41830.38,43133.46,21.7,10,1,0,0,,,,,,,,,
TAP368,B788,EDDH,MMPR,41985.12,43133.46,19.1,0,0,0,0,,,,,,,,,
LOT911,B748,LFPG,CYYR,32716.38,43225.02,175.1,0,0,0,0,,,,,,,,,
AAL405,B788,EDDL,KDCA,31840.2,43335.06,191.6,0,0,0,0,,,,,,,,,
IBE70,B772,EGSS,KCHS,32638.62,43347.06,178.5,0,0,0,0,,,,,,,,,
IBE914,B77L,LIRF,KATL,32789.52,43446.18,177.6,0,0,0,0,,,,,,,,,
THY589,A333,EGPH,KMSY,43251,43542.12,4.9,1,0,0,0,,,,,,,,,
TSC456,A339,VOBL,KDCA,42972.9,43542.24,9.5,6,1,0,0,,,,,,,,,
TSC111,B788,LFMN,MMAS,40786.08,43550.22,46.1,31,2,0,0,,,,,,,,,
UAL245,B789,EDDF,CYYT,43351.92,43554.9,3.4,0,1,0,0,,,,,,,,,
SAS786,A339,LFMN,KALB,40545.12,43554.9,50.2,13,2,0,0,,,,,,,,,
IBE655,A359,VABB,KJAX,43376.94,43562.34,3.1,0,1,0,0,,,,,,,,,
VIR325,A332,OEJN,KBWI,32500.68,43574.4,184.6,0,0,0,0,,,,,,,,,
SAS11,A333,ZBAA,MMMX,40813.08,43658.82,47.4,5,1,0,0,,,,,,,,,
THY193,B788,EDDL,KATL,33070.86,43664.58,176.6,0,0,0,0,,,,,,,,,
SWR488,B788,LFLL,CYQX,38780.34,43665.36,81.4,0,3,0,0,,,,,,,,,
AAL525,B788,WIII,MUHA,38746.92,43683.18,82.3,0,1,0,0,,,,,,,,,
EIN600,A339,RKSS,MMMY,41024.64,43683.24,44.3,0,1,0,0,,,,,,,,,
EIN34,B789,WIII,KBUF,32856.54,43704.48,180.8,0,0,0,0,,,,,,,,,
DLH913,B789,EDDL,MKJS,43199.7,43734.18,8.9,0,0,0,0,,,,,,,,,
KLM316,B763,EDDL,MMCS,38988.96,43734.18,79.1,1,0,1,0,,,,,,,,,
DLH378,B744,VOMM,KCHS,37246.32,43734.24,108.1,15,1,0,0,,,,,,,,,
TAP495,B748,VHHH,KPHL,37692.72,43737.66,100.7,36,1,0,0,,,,,,,,,
VIR871,A359,EHAM,MMZP,43149.54,43771.32,10.4,0,0,1,0,,,,,,,,,
IBE163,B763,ZGGG,KATL,39078.12,43774.98,78.3,0,0,1,0,,,,,,,,,
LOT833,A332,LIMC,MYNN,43603.98,43783.44,3,5,1,0,0,,,,,,,,,
TAP502,B788,EDDF,KTPA,43503.54,43801.98,5,0,1,0,0,,,,,,,,,
DLH471,B763,EDDL,MMAS,32333.58,43905.78,192.9,0,0,0,0,,,,,,,,,
TAP14,A333,UUEE,KSYR,41444.64,43945.92,41.7,9,1,0,0,,,,,,,,,
DAL587,A333,EGBB,KDCA,41469.78,43953.42,41.4,0,1,0,0,,,,,,,,,
AAL655,B789,VOBL,MMAS,33762.54,43999.98,170.6,0,0,0,0,,,,,,,,,
AFR394,B789,WMKK,KMCO,43856.1,44126.58,4.5,15,1,0,0,,,,,,,,,
DAL461,B77L,VOMM,KCLT,43831.86,44147.22,5.3,1,1,0,0,,,,,,,,,
TSC54,B77W,EGLL,MMAS,39942.12,44199.54,71,20,1,0,0,,,,,,,,,
THY690,B789,VTBS,KMCO,33394.86,44284.56,181.5,0,0,0,0,,,,,,,,,
AFR943,B744,OEJN,MKJS,36841.62,44297.58,124.3,4,0,1,0,,,,,,,,,
TSC213,A343,ZSPD,KALB,42442.92,44297.58,30.9,3,1,0,0,,,,,,,,,
VIR462,B752,EGLL,MYNN,42747.48,44297.58,25.8,32,1,0,0,,,,,,,,,
UAL306,B77W,LIPZ,KBDL,42619.8,44304.24,28.1,6,1,0,0,,,,,,,,,
AFR800,B752,ULLI,KROC,42898.56,44304.24,23.4,37,1,0,0,,,,,,,,,
AAL565,B748,OEJN,MMAS,36421.5,44308.98,131.5,0,0,1,0,,,,,,,,,
SWR952,B77W,LFMN,KDCA,32999.52,44478,191.3,0,0,0,0,,,,,,,,,
AAL107,A339,EGCC,MMMX,42239.58,44484.36,37.4,3,1,0,0,,,,,,,,,
DAL453,A333,UUDD,KSYR,41676.54,44484.42,46.8,12,2,0,0,,,,,,,,,
AAL797,A332,VOBL,KCHS,42289.8,44511.84,37,4,1,0,0,,,,,,,,,
TAP268,A332,EDDL,KMSY,41521.26,44529.24,50.1,32,1,0,0,,,,,,,,,
SAS74,B77L,OMDB,KSYR,43578.06,44616.96,17.3,27,1,0,0,,,,,,,,,
ETD346,B77W,RKSS,KLGA,43552.98,44630.1,18,0,1,0,0,,,,,,,,,
ETD435,A332,UUEE,MMMX,33264.18,44650.56,189.8,0,0,0,0,,,,,,,,,
DLH197,B788,RJGG,TTPP,33641.28,44657.04,183.6,0,0,0,0,,,,,,,,,
ETD354,B772,LEPA,KBDL,32942.52,44661.72,195.3,0,0,0,0,,,,,,,,,
LOT988,A333,EGSS,KPHL,38026.74,44695.26,111.1,8,1,0,0,,,,,,,,,
AFR62,B78X,LFMN,KFLL,42341.1,44695.38,39.2,0,0,0,0,,,,,,,,,
THY106,A332,LEMD,CYYR,44237.04,44696.1,7.7,6,1,0,0,,,,,,,,,
AFR978,A339,OERK,MKJS,44313.6,44696.16,6.4,0,1,0,0,,,,,,,,,
TAP374,B772,OMDB,TBPB,34331.82,44703.66,172.9,2,0,0,0,,,,,,,,,
ETD935,A333,EDDF,MKJP,38406.48,44707.32,105,0,1,0,0,,,,,,,,,
DLH658,A333,OMDB,KCHS,33997.8,44708.28,178.5,0,0,0,0,,,,,,,,,
EIN328,B772,VABB,MMMY,42264.84,44767.74,41.7,0,1,0,0,,,,,,,,,
UAL46,B789,LIRF,TBPB,34384.32,44887.26,175,0,0,0,0,,,,,,,,,
TAP131,B77W,ZBAA,KROC,44620.68,44900.04,4.7,2,1,0,0,,,,,,,,,
KLM184,B77W,RJAA,KBWI,44698.02,44900.04,3.4,0,1,0,0,,,,,,,,,
