Callsign, AircraftType, Departure, Destination, SpawnTime, DespawnTime,Flight Times, Info, TA, RA, !BOOM!,,,,,,,,,
AFR712,A333,MMGL,GQNN,9083.94,20136.9,184.2,243,1,0,0,,,,,,,,,
BAW125,B788,KBUF,DNMM,8146.68,20136.96,199.8,35,199,0,0,,,,,,,,,
BAW786,B78X,KICT,DNKN,9707.76,20143.44,173.9,0,0,0,0,,,,,,,,,
ETD189,A359,CYQM,DAOR,9533.28,20155.8,177,0,0,0,0,,,,,,,,,
SAS34,A343,KMIA,EPWA,9468.24,20183.82,178.6,229,250,73,0,,,,,,,,,
KLM795,B764,CYUL,OMSJ,8899.56,20236.26,188.9,0,0,0,0,,,,,,,,,
IBE790,B77L,KOAK,UTSS,9311.16,20249.28,182.3,238,25,6,0,,,,,,,,,
BAW139,A35K,KROC,FLKK,9424.44,20282.82,181,275,124,168,0,,,,,,,,,
SWR668,B764,KJAX,VGHS,8301.3,20296.86,199.9,0,0,0,0,,,,,,,,,
VIR161,B77W,CYYC,VECC,8605.14,20303.34,195,106,190,20,0,,,,,,,,,
THY967,B788,KRNO,OPIS,9356.34,20303.34,182.5,349,7,1,0,,,,,,,,,
LOT916,B744,KSAN,OIFM,10027.68,20367,172.3,0,0,0,0,,,,,,,,,
THY514,B788,CYYC,LEBL,9600.6,20381.28,179.7,16,13,10,0,,,,,,,,,
IBE995,B788,KLAS,LIRF,9378.96,20413.44,183.9,57,395,69,0,,,,,,,,,
SAS267,B788,KSAN,OEAB,8169.06,20439.78,204.5,40,37,0,0,,,,,,,,,
ETD247,A35K,CYQX,EPWA,9643.44,20460.24,180.3,0,0,1,0,,,,,,,,,
KLM246,B789,KDCA,DAKK,9986.46,20460.3,174.6,69,78,206,0,,,,,,,,,
IBE904,B789,CYYR,OERK,9794.34,20500.26,178.4,0,0,1,0,,,,,,,,,
KLM151,A346,KBTV,EDDB,9622.08,20506.86,181.4,0,0,0,0,,,,,,,,,
ETD371,A333,KMCI,FBSK,9664.08,20520.42,180.9,150,62,3,0,,,,,,,,,
UAE991,B772,KBGR,LEMD,9922.26,20538.66,176.9,165,19,56,0,,,,,,,,,
BAW221,B788,CYYR,LOWW,9555.72,20559.12,183.4,70,213,0,0,,,,,,,,,
DLH151,B77L,KRNO,DNKN,9836.52,20565.66,178.8,44,165,54,0,,,,,,,,,
DAL927,A35K,KPHL,VGHS,9061.5,20585.1,192.1,17,44,0,0,,,,,,,,,
UAE469,B77W,CYQT,OYAA,8990.22,20624.34,193.9,67,139,158,0,,,,,,,,,
SAS826,B77W,KMIA,VEBS,10403.58,20664.48,171,178,513,74,0,,,,,,,,,
UAE685,B77W,MMUN,VOCI,9577.32,20664.48,184.8,359,409,3,0,,,,,,,,,
UAE263,B78X,KCHS,OBBI,9816.78,20690.88,181.2,0,0,0,0,,,,,,,,,
AAL186,A333,CYXE,LEMD,9942.72,20737.68,179.9,239,467,0,0,,,,,,,,,
DLH159,B772,KSTL,OIII,9964.26,20761.74,180,0,1,0,0,,,,,,,,,
AAL694,B772,KROC,LEMD,9244.14,20768.28,192.1,40,77,142,0,,,,,,,,,
THY145,B789,MMCL,UTSB,10069.8,20802.72,178.9,0,1,0,0,,,,,,,,,
IBE326,B788,KPDX,UTTT,9403.02,20808.24,190.1,240,64,96,0,,,,,,,,,
DLH140,A332,CYYJ,LIMC,9266.46,20808.3,192.4,168,30,44,0,,,,,,,,,
DAL981,B744,CYYJ,DNAA,10258.2,20813.88,175.9,56,63,96,0,,,,,,,,,
KLM298,A332,KDTW,HKJK,9175.14,20827.92,194.2,65,4,3,0,,,,,,,,,
UAE151,B789,KBNA,UTAA,9879.06,20834.34,182.6,117,0,0,0,,,,,,,,,
EIN599,B77W,KMIA,VILK,10692.72,20834.34,169,148,144,3,0,,,,,,,,,
AFR879,B789,KSJC,DAKK,10196.34,20855.04,177.6,172,273,1,0,,,,,,,,,
SWR350,B763,KJAX,DGAA,8705.58,20861.46,202.6,49,247,5,0,,,,,,,,,
UAE71,B748,KJFK,DAOR,10425.06,20868.12,174.1,54,80,33,0,,,,,,,,,
SWR309,B788,MMCL,ORER,8825.82,20882.04,200.9,54,299,28,0,,,,,,,,,
DLH646,B764,KJAX,LKPR,9511.02,20882.04,189.5,102,99,7,0,,,,,,,,,
TAP613,A359,KBIS,VOCI,10051.92,20882.1,180.5,81,353,121,0,,,,,,,,,
BAW431,B789,CYQX,OERK,10090.2,20922.3,180.5,33,255,23,0,,,,,,,,,
AFR66,B764,KMSN,OYSN,9130.44,20928.9,196.6,49,247,5,0,,,,,,,,,
TSC906,A359,MMTJ,OKBK,10549.44,20940.06,173.2,56,159,7,0,,,,,,,,,
SAS741,A332,KCLT,VIDP,9221.22,21013.74,196.5,485,315,2,0,,,,,,,,,
BAW350,B764,KPHX,LROP,9445.98,21013.74,192.8,177,391,14,0,,,,,,,,,
DLH883,B78X,KBIL,GQNN,10153.5,21026.88,181.2,425,0,0,0,,,,,,,,,
UAE490,A359,CYHM,LROP,10879.02,21041.22,169.4,98,48,1,0,,,,,,,,,
VIR529,B788,KOMA,VEBS,9751.62,21067.92,188.6,205,468,1,0,,,,,,,,,
IBE222,A339,CYYG,EDDB,10111.56,21074.46,182.7,253,167,50,0,,,,,,,,,
VIR136,A339,CYLW,LJLJ,10528.8,21114.6,176.4,34,0,1,0,,,,,,,,,
SAS411,A332,KGEG,EDDH,10444.74,21152.88,178.5,51,109,97,0,,,,,,,,,
SWR289,A333,CYQT,DNKN,10301.16,21186.48,181.4,601,137,1,0,,,,,,,,,
THY517,B789,KICT,GVAC,10486.68,21199.56,178.5,98,114,213,0,,,,,,,,,
SAS832,A332,CYYR,OYSN,9685.44,21212.58,192.1,211,2,0,0,,,,,,,,,
ETD239,B772,MMMX,OJAI,10341.3,21238.74,181.6,17,46,2,0,,,,,,,,,
SAS540,B748,MMPR,UKBB,10775.7,21284.58,175.1,0,0,0,0,,,,,,,,,
TAP606,B744,KFNT,VOBL,11355.24,21291.06,165.6,0,0,0,0,,,,,,,,,
THY191,B772,CYHZ,ORBI,10591.2,21309.84,178.6,341,0,0,0,,,,,,,,,
LOT262,B77W,KBIL,OEJN,11023.38,21316.38,171.6,143,263,9,0,,,,,,,,,
DLH75,A359,CYEG,LPPD,10818.6,21348.84,175.5,125,144,97,0,,,,,,,,,
BAW155,B789,KSMF,LROP,10796.22,21419.88,177.1,221,43,62,0,,,,,,,,,
UAL964,B764,KSEA,LROP,10132.2,21427.14,188.2,1,0,0,0,,,,,,,,,
DLH489,A339,MMCS,LEBL,9857.64,21472.86,193.6,187,208,82,0,,,,,,,,,
THY998,B789,KDCA,DGAA,10941.42,21479.46,175.6,81,114,7,0,,,,,,,,,
AFR750,B788,KGEG,GMMN,10383.42,21506.4,185.4,128,62,1,0,,,,,,,,,
